ID Student,Tên Học Sinh,P1 (6c),P2 (25c),P3 (39c),P4 (30c),L1: Nghe ý chính (Bài ngắn),L2: Nghe ý chính (Bài dài),L3: Nghe chi tiết (Bài ngắn),L4: Nghe chi tiết (Bài dài)
1,Nguyễn Minh An,6/6,24/25,35/39,27/30,95%,90%,90%,90%
2,Trần Quang Bảo,4/6,16/25,18/39,12/30,60%,45%,50%,40%
3,Lê Thị Chi,5/6,21/25,31/39,26/30,83%,80%,85%,86%
4,Phạm Hồng Duy,5/6,18/25,28/39,22/30,75%,70%,72%,73%
5,Hoàng Đình Đạt,6/6,24/25,38/39,29/30,96%,95%,97%,96%
6,Đỗ Thu Hà,3/6,12/25,15/39,15/30,40%,50%,45%,50%
7,Bùi Văn Hùng,4/6,18/25,26/39,21/30,70%,68%,66%,70%
8,Vũ Thúy Hương,6/6,25/25,37/39,28/30,98%,95%,95%,93%
9,Ngô Gia Kiên,4/6,15/25,24/39,19/30,65%,60%,61%,63%
10,Đặng Mỹ Linh,6/6,22/25,34/39,26/30,90%,88%,87%,86%
11,Phan Hải Nam,3/6,13/25,19/39,15/30,50%,50%,48%,50%
12,Trịnh Thúy Ngọc,5/6,20/25,31/39,24/30,81%,80%,80%,80%
13,Võ Minh Quân,5/6,20/25,29/39,23/30,78%,75%,74%,76%
14,Cao Minh Tú,2/6,8/25,11/39,10/30,30%,35%,31%,33%
15,Nguyễn Xuân Vinh,5/6,22/25,33/39,26/30,85%,85%,84%,86%
